dataset,topK,L,query,target_excerpt,orig_top1_excerpt,suffix,suffix_len,suffix_token_ids,baseline_rank,final_rank,delta_rank,delta_cos,delta_ndcg,success,iter_used
nq,1,1,who was the highest ranking official in the early christian church?,"The first Martian flyby mission was Mariner 4 which arrived in 1965. That quick two-day pass (July 14â€“15, 1965) with c",One-on-one: Amanda.,postseason,1,[17525],800,720,80,0.03984493017196655,0.0016576995226118413,0,840
nq,1,1,the doors of the hildesheim church c. 1015 were carved in wood?,"Great Bend receives 27 inches (690 mm) of precipitation during an average year, and there are, on average, 71 days of me",The Friends of Benjamin Franklin House (the organization responsible for the restoration) note that the bones were likel,ʷ,1,[1143],800,390,410,0.020406126976013184,0.012456610191849168,0,500
nq,1,1,who sang the original song send in the clowns?,"Today, the Internet Corporation for Assigned Names and Numbers (ICANN) manages the top-level development and architectur",One-on-one: Amanda.,▪,1,[1618],800,355,445,-0.07491162419319153,0.014310303805265157,0,1240
nq,1,1,who hit 6 sixes in an over in test cricket?,"Touches among humans that can be defined as communication include handshakes, holding hands, kissing (cheek, lips, hand)",Most T20I wickets for India[48],1803,1,[12651],800,624,176,-0.09198388457298279,0.00399555341663925,0,740
nq,1,1,how many countries participated for the first time in the 2014 olympic winter games in sochi?,"The λ ring was one of two rings discovered by Voyager 2 in 1986.[20] It is a narrow, faint ring located just inside the ",In bold those clubs competing in the Championship as of the current season.,1805,1,[13126],800,475,325,-0.09226399660110474,0.008751426597832165,0,440
nq,1,1,what was the name of the horse in steptoe and son?,"Some companies use a well-known product as their ticker symbol. Belgian brewer InBev, the brewer of Budweiser beer, uses",One-on-one: Amanda.,##kus,1,[22332],800,648,152,0.03218740224838257,0.0033690179812422283,0,800
nq,1,1,where is tigris river located on the world map?,The assault on Sword began at about 0300 with the aerial and naval bombardment of German coastal defences and artillery ,"The books have been described as having a cult following in Poland,[1] the Czech Republic, Hungary, Slovakia, Ukraine, R",bwf,1,[21215],800,726,74,-0.026510179042816162,0.0015252172122135477,0,580
nq,1,1,who was the chief guest of india on independence day 2017?,"Missouri was historically considered a ""bellwether state"", having voted for the winner in every presidential election si",List of places,ʰ,1,[1140],800,559,241,-0.060165584087371826,0.005864041129683473,0,440
nq,1,1,when has the u.s. experienced government expenditures in the range of 40 to 50 of gdp?,"The character of the Old Witch was inspired by Old Nancy, the witch of Salem, host of Alonzo Deen Cole's radio series, T","Vietnam is expected to be a newly industrialized country, and also, a regional power in the future. Vietnam is one of Ne",##gaon,1,[27073],800,623,177,0.0001995563507080078,0.004022340949099049,0,860
nq,1,1,what's in a beam me up scotty?,"The first person Charles visits is Carter Ryking, who had gone insane after losing his powers. Charles reads Carter's me",One-on-one: Amanda.,198,1,[20003],800,618,182,0.03638339042663574,0.0041571277954925295,0,500
